Entidade,Mês,Ano,Edicao,Texto
FIESP,Novembro,2019,40,"Estamos no início de um novo ciclo no Brasil. Deixamos para trás a maior crise econômica da nossa história, que reduziu o PIB em 7% no biênio 2015/2016, e começamos a reconstruir a estabilidade fiscal do país. Primeiro com a aprovação da Lei do Teto de Gastos agora complementada pela Reforma da Previdência. Juntas, elas colocam o equilíbrio das contas públicas no horizonte.  No âmbito privado, novas perspectivas se abrem. Após décadas de juros básicos de dois dígitos, teremos alguns anos pela frente de taxas perto de 5% ao ano, patamar nunca antes atingido. Isso permite um forte aumento do crédito para famílias e para as pequenas empresas. Aqui, temos oportunidades. Possuímos um déficit de mais de 5 milhões de habitações que, com crescimento e crédito, poderão ser ofertadas por empresas brasileiras e estrangeiras que queiram vir construir o novo Brasil. Há também grande potencial no consumo das famílias nessa conjuntura de juros mais baixos e retomada da economia. No ano passado, por exemplo, apenas metade dos domicílios tinha automóveis e 65% possuíam máquina de lavar. A nova demanda que virá terá de ser atendida pela indústria. Além disso, na infraestrutura, temos uma notável carteira de projetos pronta que conta com mais de cem programas em diversos segmentos. Entre todos, destaca-se a área de óleo e gás. É a que oferece mais oportunidades e a expectativa é que possa atrair R$ 260 bilhões em investimentos nos próximos 35 anos. Há também à vista uma série de possibilidades atraentes entre renovações, novas concessões e desestatizações: 11 projetos ferroviários, 18 na malha rodoviária, 20 portuários, 22 no setor aéreo, além de inúmeras iniciativas na área de energia elétrica e de mineração com potencial para levantar cerca de US$ 60 bilhões em investimentos. Da lista elaborada pelo governo de companhias que deverão passar para a iniciativa privada, constam empresas como Casa da Moeda, Correios, Telebras, Agência Brasileira Gestora de Fundos Garantidores, Empresa Gestora de Ativos da União, Companhia Brasileira de Trens Urbanos, entre outras. Poucos países têm tantos bons ativos na praça como o Brasil neste momento. Somos um país continental com mais de 8 milhões de quilômetros quadrados de área, 8,5 mil quilômetros de costa e uma população de 210 milhões de pessoas. Gente trabalhadora e que quer prosperar, construindo este novo Brasil junto com empresas brasileiras e estrangeiras que participarem deste grande esforço de desenvolvimento e geração de empregos."
FIESP,Setembro,2019,39,"Agosto encerrou com boas notícias para a indústria
paulista. O Nível de Atividade da Fiesp, mais conhecido
como INA, registrou alta de 2,1%, com ajuste sazonal, no
mês de julho. Sendo in uenciado pela variável de vendas
reais, o resultado positivo do INA de julho mais que
compensou o negativo do mês anterior. O Sensor de agosto, outro indicador econômico
da Fiesp, também veio positivo. Após três meses
abaixo da linha de 50 pontos, avançou e marcou
50,2 pontos, indicando expansão da atividade.
Vendas e emprego foram as variáveis que chamaram atenção. Enquanto venda atingiu 52,6 pontos,
a variável emprego avançou 3,1 pontos para 52,5
pontos em agosto. Resultados cima dos 50 pontos
indicam expectativa de admissão para o mês.
Outro dado que injetou mais ânimo na indústria
foi a alta de 0,4% no PIB medido pelo IBGE do
segundo trimestre e divulgado em agosto, com
destaque para a indústria de transformação (alta
de 2%) e construção civil (elevação de 1,9%). O
número indica que a economia reencontrou o caminho do crescimento, que deve ser revisto para
algo em torno de 1% este ano.
Diante desses bons resultados, da aprovação da
Reforma da Previdência e de outras medidas que
melhoram o ambiente de negócios, não tenho dúvidas de que a economia vai começar a se recuperar. A economia não é uma lancha, que obedece
rapidamente aos comandos, mas um transatlântico pesado, lento, que demora a mudar de rumo.
Por isso, para acelerar a recuperação, são necessárias medidas de curto prazo. O governo precisa aumentar o crédito, reduzir o spread bancário,
acelerar as privatizações e concessões e retomar as
obras paradas. Assim, teremos o crescimento e a
geração de empregos que o Brasil tanto precisa."
FIESP,Julho,2019,38,"Começamos o segundo semestre com algumas notícias positivas que melhoram os prognósticos para a economia em 2019,
após um primeiro semestre de paralisia. A aprovação em primeiro turno da reforma da previdência por larga margem de
votos indica um horizonte de controle de contas públicas; a liberação de recursos do FGTS e do PIS/PASEP anunciada pelo
governo colocará R$ 30 bilhões em circulação este ano e dará fôlego ao consumo; a infl ação abaixo da meta abre espaço
para a redução da Selic, a taxa básica de juros. É um quadro que encoraja os investimentos, passo fundamental para a retomada do crescimento e
dos postos de trabalho. Afinal, a economia continua a apresentar alta ociosidade - o indicador da
CNI se situa em 77% de ocupação, quando a média histórica é de 82%, e o drama do desemprego
afeta 13 milhões de famílias.
Ainda assim, há outras medidas que são necessárias para melhorar o quadro econômico. Dentre
elas, a ampliação do crédito é das mais importantes. Nesse caso, o desafio é duplo: é preciso aumentar a oferta e reduzir o seu custo que, sabemos
todos, só cairá com maior concorrência no mercado bancário e de financiamento.
Desde 2016, os bancos públicos cortaram o volume total de crédito em 7,8%, enquanto os bancos
privados aumentaram o saldo de empréstimos em
26,5%. Somente em 2019, os públicos reduziram
em mais 1,7% seu estoque de crédito, enquanto os
privados expandiram em 4,5%.
Esse movimento fez com que os privados pudessem ampliar sua carteira ao mesmo tempo em que
aumentavam ainda mais o spread bancário cobrado dos clientes nas transações. O spread saltou de
17% (que já era um patamar absurdo), para 19,2%
em maio deste ano.
A cada ponto percentual a menos nos juros concedidos ao tomador final sobram R$ 30 bilhões na
economia — R$ 15 bilhões no bolso das pessoas e
outros R$ 15 bilhões no caixa das empresas. Com
esses recursos, as famílias poderiam aumentar seu
consumo e as empresas, expandir seu investimento, produção e emprego, ajudando a retomada do
crescimento econômico. O caminho está dado,
precisamos trilhá-lo."
FIESP,Maio,2019,37,"A nova Lei Geral de Proteção de Dados Pessoais
(LGPD) entra em vigor em agosto de 2020, segundo
as previsões atuais.
Com isso, o Brasil se alinha a comunidade internacional e passa a integrar, definitivamente, o rol de mais de
100 países que adotaram leis que protegem a privacidade e o uso de dados pessoais. É importante salientar
que a LGPD não envolve somente questões tecnológicas e jurídicas, mas serve como ferramenta para o
desenvolvimento econômico do país.
Mais do que garantir direitos individuais, a LGPD
permite regras mais claras e transparentes para o uso
adequado de dados pessoais garantindo privacidade
e segurança jurídica não só aos cidadãos, mas também às empresas.
Na vanguarda desse tema, a Fiesp e seus Sindicatos
filiados, há cinco anos criaram o Grupo de Trabalho
de Segurança Cibernética que discute e atua sobre o
assunto, promovendo seminários, encontros e debates. O empresário tem muitas dúvidas em relação ao
tratamento de dados e, para esclarecer e orientar sobre as principais mudanças decorrentes da nova lei,
a Fiesp elaborou uma cartilha que, aliás, já está na
segunda edição. Com linguagem bastante objetiva e
simplificada, a cartilha explica os 10 princípios que
regem a lei e tira dúvidas em relação ao que é dado
pessoal, qual o dado a ser protegido de acordo com a
lei e como tratá-los.
O mundo da internet é um caminho sem volta. Assim, boas práticas, respeito a privacidade de dados,
governança e medidas de segurança são fatores fundamentais e essenciais para protegermos a sociedade de
vazamentos de dados, crimes cibernéticos e atividades
ilegais praticadas no mundo virtual."
FIESP,Fevereiro,2019,36,"O Brasil vive um momento crucial em sua história recente. Depois de um ciclo de
crise política e econômica, no qual o País sofreu com recessão e desemprego, temos
a oportunidade de retomar o crescimento econômico e o desenvolvimento social. Para que isso se concretize, porém, governo e sociedade precisam agir agora com coragem e determinação para inserir
o Brasil novamente na rota do desenvolvimento. O novo governo tem em suas mãos, a oportunidade de reconstruir esse
caminho colocando em prática, as reformas da previdência e
tributária, medidas urgentes e indispensáveis para destravar a
economia como um todo. Os desafios são enormes, o caminho
é longo, porém necessário. Comprometida com a retomada
de investimentos, geração de empregos, ampliação do crédito,
transição para a indústria 4.0, infraestrutura, segurança pública, educação e muito mais, a indústria do estado de São Paulo
que sempre se reinventa, já sinalizou que poderá ser uma grande parceira nessa jornada.
Pesquisa recente feita pela Fiesp, “Expectativas com o novo governo, avaliação de 2018 e perspectivas para 2019”, com mais de
500 empresas, mostra que 72,9% dos empresários estão otimistas e pretendem aumentar a produção, um crescimento de 12
pontos percentuais em relação ao ano passado (60,9%), e que
41,2% das empresas pretendem ampliar o emprego.
Outro resultado que chama a atenção refere-se ao emprego:
41,2% das empresas pretendem ampliar o quadro de funcionários ainda no primeiro semestre. Esse é o melhor resultado
desde 2011, quando esse percentual era de 40,8%.
Outro dado animador é a decisão de aumentar a produção ainda no 1º semestre, confirmada por 68,2% dos industriais paulistas, enquanto 67,2% esperam ampliar as vendas no mercado
interno e 51,3% aumentar suas exportações. Já 78% indicaram
impacto positivo sobre as expectativas para este ano.
O empresário sinalizou também que está muito confiante
quando o assunto são as reformas necessárias para o país. Para
92,4% a reforma da previdência será aprovada ainda em 2019 e
89,1% apostam na aprovação da reforma tributária. A pesquisa
mostra ainda que 87,9% dos entrevistados, acreditam que o
custo do crédito será reduzido, e para 64,0% será criada uma
política industrial. Já 63,0% apostam que haverá um aumento
no apoio e incentivo à inovação e ao desenvolvimento tecnológico. Ou seja, essa percepção positiva está em todos os setores
da economia. Agora, cabe a nós, sociedade e governo, arregaçarmos as mangas e tornar realidade esse otimismo."
FIESP,Dezembro,2018,35,"O último ano foi bastante conturbado. A retomada mais pronunciada do crescimento não veio, e fechamos o ano com crescimento do PIB ligeiramente acima de 1%. As disputas ideológicas dividiram o país num processo eleitoral confl ituoso. Mas isso tudo é parte do passado. Agora é hora de definir as estratégias fundamentais para recolocar o Brasil na rota de crescimento, capaz de gerar emprego, renda e a prosperidade que os brasileiros tanto almejam. O primeiro grande desafio é promover o ajuste fiscal e reequilibrar as contas do governo, pois este equilíbrio é que
estancará o crescimento da dívida pública, condição fundamental para a estabilidade financeira do país e para a
prática de juros básicos em linha com o resto do mundo.
Neste processo, a reforma da Previdência é fundamental.
Além disso, precisamos construir um ambiente favorável ao
investimento e à produção. Devemos criar condições isonômicas às de nossos competidores internacionais. Mais especificamente, devemos ter uma taxa de juros para o tomador
final no padrão internacional, tributação mais simples e que
pese menos sobre a produção. Precisamos também de infraestrutura eficiente e com custos adequados. Em suma,
precisamos reduzir fortemente o chamado Custo Brasil.
Neste sentido, a indústria está pronta para apoiar o governo
eleito em todas as ações que ajudem a alcançar o nosso principal objetivo: garantir um futuro próspero para o Brasil.
Acreditamos que a fase de maior instabilidade ficou para
trás. Continuamos cientes da importância de discutir os
problemas da nação e não mediremos esforços para trazer
de volta o crescimento que a economia brasileira precisa.
Sabemos que, apesar do cenário desfavorável, a indústria
brasileira sobreviveu e hoje ainda é responsável pela geração de quase 10 milhões de empregos diretos, pagando os
melhores salários do país. A indústria responde pela arrecadação de 32% dos impostos, por quase 70% das exportações brasileiras e por 68% dos investimentos em pesquisa e
desenvolvimento feitos pelo setor privado. Isto é resultado
de um trabalho incansável, de nossas batalhas e conquistas
diárias. E a Fiesp, protagonista do avanço da indústria, tem
um papel decisivo neste cenário.
Seguimos juntos e engajados, enfrentando nossos desafios
com força e vigor, e fortalecendo a nossa capacidade de
Superação."
FIESP,Outubro,2018,34,"Com novas ideias para velhos problemas – ou
criando mercados em que ninguém tinha pensado
– as startups têm se mostrado muito eficientes em
aproveitar as oportunidades da economia brasileira em diversos setores. Investindo em tecnologia e
inovação em um modelo de negócio de baixo custo e alto potencial de crescimento, as startups têm
liderado uma verdadeira revolução. Os empreendedores das startups são jovens e têm alto grau de escolaridade ou especialização. Pesquisa da Fiesp mostra que cerca
de 53% dos empreendedores têm pós-graduação e 62% têm idade
até 44 anos. Além disso cerca de 33% dos startups já existem há
mais de 3 anos e pretendem investir este ano.
Tocado por jovens, o ecossistema brasileiro das startups já se provou maduro, atraindo investidores e grandes empresas. Prova do
sucesso delas é que o Brasil já tem seus primeiros “unicórnios” –
termo usado para as startups que valem mais de US$ 1 bilhão (caso
do aplicativo de mobilidade 99 e da Nubank). E a tendência é que
novos gigantes surjam.
Característica interessante das startups é que elas tanto podem oferecer serviços e produtos diretamente para os consumidores finais
quanto criar soluções para outras empresas, de qualquer porte. É
muito mais fácil para uma empresa contratar uma startup – que já
tem um negócio pronto e consolidado – para atender a um desafio
específico do que desenvolver internamente uma solução.
Ao se aproximar de startups, as empresas ganham mais capacidade
de conhecer e absorver inovação e novas tecnologias que podem
afetar seu modelo de negócio. A agilidade das startups combina
com a velocidade das mudanças trazida pela quarta revolução industrial, a Indústria 4.0, que exige a integração das tecnologias físicas e digitais em todas as etapas do processo produtivo. No mundo
inteiro é um caminho sem volta – e para não ficar para trás as
empresas brasileiras precisam se conectar às startups.
Os empresários da indústria sabem disso e não estão parados. Apesar de todas as turbulências da economia, as indústrias têm buscado fomentar parcerias com startups. Segundo a ABDI, responsável
pela iniciativa nacional “Conexão Startup-Indústria”, 22% das indústrias já negociaram (compra e venda) com startups e 21% delas
estão se preparando para ter relações comerciais com startups.
Neste ambiente cada vez mais desafiador para a indústria – em
que novas tecnologias e novos modelos de negócios surgem a todo
momento e onde tudo e todos estão mais conectados – a integração às startups é fundamental. Ela permite fomentar a inovação e
intensificar o uso da tecnologia, gerando empregos qualificados e
com efeito multiplicador na economia e na própria sociedade."
FIESP,Agosto,2018,33,"A tabela de preços mínimos para o frete, proposta pelo governo para encerrar a greve dos caminhoneiros, ajudou a resolver um problema momentâneo, mas criou outro, mais duradouro, que tem alto preço a ser
pago pela sociedade. No período de junho a dezembro de 2018 o aumento
embutido no frete pelo tabelamento vai custar R$ 3,3 bilhões à indústria
paulista. O gasto mensal adicional com frete será de R$ 469,6 milhões. É
uma carga pesada, que será repassada ao consumidor. Pesquisa realizada pela Fiesp revela que se a tabela
do frete for mantida, 55,3% das empresas pretendem repassar para o preço dos produtos, integra
ou parcialmente, o aumento do custo de transporte. A elevação de custos já tem impacto sobre as
empresas pesquisadas. Metade (50,1%) sentiu aumento do preço de insumos quando o valor do frete é pago pelo fornecedor. O impacto foi de 2,0%
sobre o gasto com insumo das empresas.
Por conta do fraco desempenho da economia, o
repasse ocorre num momento em que as indústrias paulistas estão com pouca margem para absorver mais este aumento do preço do frete sem
repassar para seus produtos. Segundo o estudo,
24,5% das empresas projetam redução das vendas
de seus produtos, em até 1,7%. Para que essa queda
não seja maior, 14,2% deram desconto no valor de
seus produtos quando o frete é pago pelo cliente. O
desconto representou 0,5% sobre as vendas.
A pesquisa aponta também que 59,5% das empresas pesquisadas não possuem frota própria para
coleta ou entrega de produtos. E, das 39,1% que
possuem frota própria, apenas 28,2% afirmaram
que sua frota atende totalmente a necessidade de
frete da empresa.
Num país que tem centenas de milhares de caminhoneiros concorrendo naturalmente pela carga
a ser transportada, esse tabelamento artificial fere
o princípio da livre-iniciativa e deve tornar ainda
mais lenta a retomada do crescimento.
Em vez de ser uma solução definitiva, o tabelamento do frete se tornou uma dor de cabeça terrível para o setor produtivo – e por tabela, para
toda a sociedade."
FIESP,Junho,2018,32,"O crédito no Brasil está entre os mais caros do mundo. O spread bancário, a
diferença entre a taxa que os bancos cobram nos empréstimos e a taxa paga
nos depósitos, foi em média de 21,5% ao ano nas concessões feitas em 2017. É
14 vezes maior do que a média de Chile, Itália, Japão, Malásia, Nova Zelândia e
Suécia, países que calculam o spread com a mesma metodologia utilizada pelo
Banco Central do Brasil.
A inadimplência é o principal motivo dado para o alto spread, mas há séria
discrepância entre o custo de crédito do Brasil e o dos demais países mesmo em
modalidades nas quais o risco de inadimplência é bastante reduzido. As taxas médias cobradas do crédito consignado
de aposentados e de funcionários públicos são, respectivamente, 7 e 6 vezes maiores do que o spread médio de pessoas físicas da Itália e da Suécia,
países com metodologia de juros comparável à do
Brasil e que divulgam dados de pessoas físicas.
Por que então o spread é tão alto no Brasil? A resposta está no poder de mercado dos bancos. Em
plena crise, os bancos conseguiram reduzir as concessões de crédito e aumentar a taxa de juros de
empréstimos – e tiveram maior lucro, ao contrário
de grande parte das empresas não financeiras.
Pesquisa recente elaborada pela Fiesp estima que
se em 2017 os bancos tivessem cobrado spreads 
semelhantes aos que foram praticados entre 2012
e 2014, cairia de 10,1% para 6,7% o comprometimento da renda das famílias com o pagamento de
juros, o que liberaria R$ 141,6 bilhões na economia
e incrementaria significativamente o consumo e a
produção industrial.
Portanto, é preciso atacar com firmeza a falta de
concorrência, que possibilita aos bancos cobrar juros abusivos e manter lucratividade destoante dos
demais setores da economia. A campanha Chega
de Engolir Sapo, lançada em março pela Fiesp, dá
um passo importante ao conscientizar a sociedade
de que a redução do custo do crédito deve ser tratada como uma prioridade para que o país consiga
reduzir o desemprego e aumentar a renda."
FIESP,Abril,2018,31,"A taxa básica de juros no Brasil, a Selic, está em 6,5%
ao ano, valor mais baixo desde sua criação, em 1979.
O Brasil, acostumado a ser o campeão mundial dos juros primários, hoje tem taxas menores que Argentina,
África do Sul, México e Rússia.
Só que no dia a dia das pessoas e das empresas a redução da Selic não ajudou quase nada. Para elas os juros brasileiros continuam a ser os maiores do mundo.
Em média, as pessoas físicas pagam 73% ao ano nos
empréstimos, e as empresas, 28,6%, segundo o Banco
Central. E é muito pior no cartão de crédito (334% ao
ano) e no cheque especial (323%). Só os bancos ganham com essas taxas. Alguém que
tivesse depositado R$ 100 na caderneta de poupança
há dez anos teria hoje na conta R$ 198,03. Se a mesma pessoa tivesse entrado R$ 100 no cheque especial,
na mesma data, teria hoje, no mesmo banco, uma dívida de R$ 4.394.136,97!! Mais de 4 milhões de reais.
Absurdo, não?
A explicação é simples: o dinheiro para emprestar está
nas mãos de poucos. Os quatro maiores bancos comerciais (Itaú, Bradesco, Banco do Brasil e Caixa) concentram79% do total de crédito no país. As desculpas
usadas pelos bancos para as taxas não se sustentam.
Os juros estratosféricos tornam difícil pagar as dívidas, diminuem os investimentos das empresas, afastam famílias dos seus sonhos e emperram o crescimento do país.
É hora de dar um basta! Por isso a Fiesp e centenas
de líderes empresariais e entidades patronais mantêm
uma campanha contra as taxas absurdas. A mensagem é clara: Diga não aos juros mais altos do mundo."
